gadget,product,sku,variant title,action
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS23-Blk,Samsung Galaxy S23,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS24-Blk,Samsung Galaxy S24/25,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS25U-Blk,Samsung Galaxy S25 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS24U-Blk,Samsung Galaxy S24 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS25E-Blk,Samsung Galaxy S25 Edge,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS23U-Blk,Samsung Galaxy S23 Ultra,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS24FE-Blk,Samsung Galaxy S24 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for Samsung Models,WM-SS23FE-Blk,Samsung Galaxy S23 FE,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iPnXS-Blk,iPhone XS,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i12Pro-Blk,iPhone 12 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iPhn7/8G-Blk,iPhone 7/8G,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i14PM-Blk,iPhone 14 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i13PM-Blk,iPhone 13 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i16E-Blk,iPhone 16E,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iPn11-Blk,iPhone 11,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i14Pls-Blk,iPhone 14 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iPnX-Blk,iPhone X,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i14Pro-Blk,iPhone 14 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iPnXR-Blk,iPhone XR,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iph7/8P-Blk,iPhone 7/8P,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i15-Blk,iPhone 15,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i15Pls-Blk,iPhone 15 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i16PM-Blk,iPhone 16 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i16Pro-Blk,iPhone 16 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i15Pro-Blk,iPhone 15 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i15PM-Blk,iPhone 15 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i13-Blk,iPhone 13,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i13Mini-Blk,iPhone 13 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i12PM-Blk,iPhone 12 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i16Pls-Blk,iPhone 16 Plus,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i11PM-Blk,iPhone 11 Pro Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i13Pro-Blk,iPhone 13 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-iXSM-Blk,iPhone XS Max,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i14-Blk,iPhone 14,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i12Mini-Blk,iPhone 12 Mini,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i16-Blk,iPhone 16,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i11Pro-Blk,iPhone 11 Pro,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Black Magsafe Cover & Case for iPhone (All Models),WM-i12-Blk,iPhone 12,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS24U-Blk,Samsung Galaxy S24 Ultra / Black,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS24-Blu,Samsung Galaxy S24 / Blue,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS25U-Blu,Samsung Galaxy S25 Ultra / Blue,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
accessory,Camera Rings For Samsung Models,CR-SS25U-Blk,Samsung Galaxy S25 Ultra / Black,"ACCESSORY — phone cases, not skins. Needs its own product type and shot."
